CD_MUN,CIDADE,UF,LAT,LON
1303205,Novo Airão,AM,-2.581175,-61.053527
1303304,Novo Aripuanã,AM,-5.415396,-60.37136
1303403,Parintins,AM,-2.62885,-56.736303
1303502,Pauini,AM,-7.880351,-67.845818
1303536,Presidente Figueiredo,AM,-1.946878,-60.360423
1303569,Rio Preto da Eva,AM,-2.654649,-59.449251
1303601,Santa Isabel do Rio Negro,AM,-0.324915,-66.732329
1303700,Santo Antônio do Içá,AM,-3.380389,-68.010574
1303809,São Gabriel da Cachoeira,AM,0.022061,-66.669308
1303908,São Paulo de Olivença,AM,-3.440312,-69.123517
1303957,São Sebastião do Uatumã,AM,-2.03355,-58.987355
1304005,Silves,AM,-2.640226,-58.563354
1304062,Tabatinga,AM,-4.04708,-69.508292
1304104,Tapauá,AM,-5.625386,-64.963843
1304203,Tefé,AM,-3.354256,-64.707911
1304237,Tonantins,AM,-2.866785,-67.805982
1304260,Uarini,AM,-2.994178,-65.200466
1304302,Urucará,AM,-2.06374,-57.991289
1304401,Urucurituba,AM,-3.024414,-58.280571
1400027,Amajari,RR,3.769017,-61.473776
1400050,Alto Alegre,RR,2.974161,-61.296225
1400100,Boa Vista,RR,2.906197,-60.667485
1400159,Bonfim,RR,3.211485,-59.921114
1400175,Cantá,RR,2.556921,-60.525084
1400209,Caracaraí,RR,1.109283,-61.450182
1400233,Caroebe,RR,0.883957,-59.595654
1400282,Iracema,RR,2.299489,-61.028208
1400308,Mucajaí,RR,2.468448,-61.356086
1400407,Normandia,RR,3.95918,-59.628503
1400456,Pacaraima,RR,4.353611,-61.2041
1400472,Rorainópolis,RR,0.677149,-60.552987
1400506,São João da Baliza,RR,0.874506,-59.933438
1400605,São Luiz,RR,1.021483,-60.061756
1400704,Uiramutã,RR,4.441061,-60.481976
1500107,Abaetetuba,PA,-1.750044,-48.763271
1500131,Abel Figueiredo,PA,-4.950523,-48.390955
1500206,Acará,PA,-1.960772,-48.210551
1500305,Afuá,PA,-0.395482,-50.346472
1500347,Água Azul do Norte,PA,-6.748961,-50.452955
1500404,Alenquer,PA,-1.405679,-54.918863
1500503,Almeirim,PA,-1.546648,-53.020467
1500602,Altamira,PA,-4.215044,-54.425852
1500701,Anajás,PA,-0.99048,-49.944511
1500800,Ananindeua,PA,-1.362225,-48.361441
1500859,Anapu,PA,-3.565381,-51.100131
1500909,Augusto Corrêa,PA,-1.01587,-46.573045
1500958,Aurora do Pará,PA,-2.12571,-47.914688
1501006,Aveiro,PA,-3.612802,-55.007346
1501105,Bagre,PA,-1.595454,-50.143767
1501204,Baião,PA,-2.977265,-49.663968
1501253,Bannach,PA,-7.401077,-50.480074
1501303,Barcarena,PA,-1.552663,-48.704336
1501402,Belém,PA,-1.333738,-48.43076
1501451,Belterra,PA,-2.604626,-54.981662
1501501,Benevides,PA,-1.336929,-48.246075
1501576,Bom Jesus do Tocantins,PA,-5.159087,-48.820231
1501600,Bonito,PA,-1.365001,-47.324322
1501709,Bragança,PA,-1.116459,-46.778049
